net,length_um
RF.registers\[5\]\[26\],27.34
_2979_,27.32
_2931_,27.3
_2235_,27.28
RF.registers\[14\]\[4\],27.195
RF.registers\[11\]\[5\],27.16
RF.registers\[31\]\[30\],27.16
RF.registers\[13\]\[8\],27.14
RF.registers\[4\]\[23\],27
net7,26.995
RF.registers\[9\]\[0\],26.98
RF.registers\[27\]\[27\],26.92
RF.registers\[28\]\[27\],26.9
RF.registers\[19\]\[8\],26.89
RF.registers\[11\]\[22\],26.88
RF.registers\[23\]\[9\],26.88
_2382_,26.88
_1580_,26.86
RF.registers\[6\]\[26\],26.855
RF.registers\[22\]\[16\],26.815
RF.registers\[1\]\[18\],26.8
RF.registers\[27\]\[7\],26.79
_2803_,26.76
RF.registers\[11\]\[10\],26.7
RF.registers\[16\]\[14\],26.68
RF.registers\[12\]\[16\],26.66
RF.registers\[10\]\[5\],26.65
RF.registers\[24\]\[9\],26.52
_2240_,26.45
_2134_,26.44
_1492_,26.42
RF.registers\[0\]\[3\],26.41
RF.registers\[22\]\[21\],26.39
_2620_,26.36
RF.registers\[16\]\[24\],26.34
RF.registers\[20\]\[0\],26.32
RF.registers\[31\]\[22\],26.32
RF.registers\[30\]\[1\],26.315
_1635_,26.3
RF.registers\[13\]\[7\],26.24
RF.registers\[16\]\[31\],26.24
_1447_,26.24
_1504_,26.24
_1940_,26.22
RF.registers\[30\]\[12\],26.17
RF.registers\[16\]\[18\],26.16
RF.registers\[14\]\[17\],26.155
RF.registers\[0\]\[15\],26.1
RF.registers\[3\]\[19\],26.06
RF.registers\[10\]\[22\],26.035
_2307_,26.03
RF.registers\[2\]\[28\],26.015
RF.registers\[15\]\[22\],26.01
RF.registers\[4\]\[21\],25.98
RF.registers\[13\]\[31\],25.96
RF.registers\[5\]\[3\],25.9
_2439_,25.9
RF.registers\[26\]\[27\],25.87
RF.registers\[4\]\[15\],25.84
RF.registers\[8\]\[7\],25.8
_2468_,25.8
RF.registers\[6\]\[5\],25.785
RF.registers\[14\]\[2\],25.715
_1386_,25.7
RF.registers\[30\]\[19\],25.69
_2470_,25.68
RF.registers\[12\]\[12\],25.66
RF.registers\[20\]\[31\],25.66
RF.registers\[2\]\[10\],25.63
RF.registers\[29\]\[7\],25.62
_1481_,25.62
RF.registers\[31\]\[20\],25.58
RF.registers\[5\]\[28\],25.56
RF.registers\[27\]\[30\],25.54
_2554_,25.52
_2276_,25.5
_2624_,25.5
_2471_,25.46
RF.registers\[27\]\[28\],25.44
RF.registers\[27\]\[22\],25.42
_1275_,25.4
_2556_,25.38
RF.registers\[30\]\[10\],25.37
RF.registers\[15\]\[4\],25.3
RF.registers\[9\]\[7\],25.28
RF.registers\[17\]\[7\],25.26
_1358_,25.24
RF.registers\[18\]\[18\],25.23
RF.registers\[7\]\[18\],25.2
RF.registers\[21\]\[20\],25.18
_2431_,25.18
